Timestamp,What is your age?,What is your gender?,What is your highest level of education?,What was your field of study?,How many years have passed since your graduation?,Are you currently employed?,What is your current employment status?,How long did it take to find a job after graduation?,Is your current job related to your field of study?,What was the main reason for working in a job unrelated to your degree? (If applicable),Have you experienced any periods of unemployment since graduation?,How satisfied are you with your current job?,Do you see clear career growth opportunities in your current job?,Have you had to change jobs to find better employment opportunities?,How often have you considered further education or training to improve your job prospects?,Do you feel your degree adequately prepared you for the job market?,What skills do you think were missing from your university education that employers demand? (Check all that apply),Have you had to pursue additional training or certifications to improve employability?,Were there any gaps in your education that you believe should have been addressed?,"On a scale of 1-10, How well did your degree prepare you for the job market?",Have you taken out student loans to finance your education?,"On a scale of 1-10, how would you rate the financial burden of your education?",Do you believe your education offers a good return on investment?,Have you ever faced difficulties in finding a job due to a lack of experience?,What do you think should be improved in Sri Lankas higher education system to enhance graduate employability? (Check all that apply),Would you consider leaving Sri Lanka for better job opportunities?,"Overall, how satisfied are you with the quality of education you received?",What improvements would you suggest for the curriculum to better prepare students for the job market?,"If you are unemployed, how long have you been seeking employment?",What do you think is the primary reason for your current unemployment?,Have you applied for jobs related to your field of study while unemployed?,"If yes, what has been the main reason for not securing a job related to your degree?",How often do you face rejections from employers when applying for jobs?,Do you feel that having a bachelors degree has made it more difficult to find a job?,What do you think would improve your chances of finding employment? (Check all that apply),Have you taken any steps to improve your employability while unemployed?,How do you feel about your prospects of securing a job in the near future?,What do you think needs to change in the education system or job market to reduce unemployment among bachelors degree holders? (Open-ended),What improvements would you suggest for the curriculum to better prepare students for the job market?.1,Column 39,comment_employment,comment_unemployment,all_comments,employment_status,polarity,tone
3/29/2025 21:39:12,2530,Female,Bachelors Degree,Engineering,1 year,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",Lack of job opportunities in my field,,1.0,Somewhat,No,Occasionally,Yes,Industry-Specific Knowledge,Yes,No,1.0,No,4.0,Maybe,Yes,More practical training & internships,Yes,1.0,Should give skills and practical learning,,,,,,,,,,,,,Should give skills and practical learning,,give skill practical learning,employed,0.0,Neutral
3/29/2025 21:39:24,2530,Female,Bachelors Degree,Engineering,1,Yes,Employed (Full-time),More than 1 year,Somewhat related,Lack of job opportunities in my field,,1.0,Somewhat,Yes,Occasionally,Somewhat,Communication & Soft Skills,Yes,No,7.0,No,5.0,Yes,No,"Updated curriculum aligned with industry needs, Career guidance & counseling",Maybe,1.0,,,,,,,,,,,,,,,,nan,employed,0.0,Neutral
3/29/2025 21:39:35,2530,Male,Bachelors Degree,Science & Technology,3,Yes,Employed (Full-time),Less than 3 months,Not related,Personal preference,,5.0,Yes,Yes,Occasionally,Somewhat,"Practical/Technical Skills, Communication & Soft Skills, Leadership & Management Skills",Yes,Yes,7.0,No,8.0,Yes,No,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",No,3.0,,,,,,,,,,,,,,,,nan,employed,0.0,Neutral
3/29/2025 21:41:41,2530,Female,Diploma/Certificate,Engineering,1,No,,,,,,,,,,,,,,,,,,,,,,,Less than 3 months,Prefer to focus on personal projects or further studies,No,Skills mismatch,1.0,Not sure,Better access to career guidance and resources,"Yes, I have expanded my professional network",1.0,,,,,,nan,unemployed,0.0,Neutral
3/29/2025 21:42:55,2530,Male,Bachelors Degree,Science & Technology,2,Yes,Employed (Full-time),36 months,"Yes, highly related",,,3.0,Somewhat,Yes,Very often,Yes,"Leadership & Management Skills, Industry-Specific Knowledge",Yes,No,7.0,No,5.0,Yes,Yes,"Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Maybe,2.0,,,,,,,,,,,,,,,,nan,employed,0.0,Neutral
3/29/2025 21:43:47,2530,Female,Postgraduate Degree,Science & Technology,1.5yrs,Yes,Employed (Full-time),More than 1 year,Somewhat related,Better salary in another sector,,4.0,Somewhat,Yes,Very often,Somewhat,"Practical/Technical Skills, Industry-Specific Knowledge",Yes,No,5.0,Yes,6.0,Yes,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Yes,3.0,"The curriculum should be more practical and industry-focused, incorporating hands-on training, internships, and real-world case studies. It should align with industry needs by integrating the latest technologies, soft skills development, and professional certifications to enhance employability. Regular updates based on industry feedback will ensure relevance.",,,,,,,,,,,,,"The curriculum should be more practical and industry-focused, incorporating hands-on training, internships, and real-world case studies. It should align with industry needs by integrating the latest technologies, soft skills development, and professional certifications to enhance employability. Regular updates based on industry feedback will ensure relevance.",,curriculum practical industryfocused incorporating handson training internship realworld case study align industry need integrating latest technology soft skill development professional certification enhance employability regular update based industry feedback ensure relevance,employed,0.175,Constructive
3/29/2025 21:47:16,2530,Female,Bachelors Degree,Business & Management,3,Yes,Employed (Full-time),36 months,Somewhat related,Personal preference,,3.0,Somewhat,Yes,Occasionally,Somewhat,"Practical/Technical Skills, Communication & Soft Skills, Digital Literacy",No,No,4.0,No,3.0,Yes,Yes,"More practical training & internships, Career guidance & counseling",Yes,1.0,,,,,,,,,,,,,,,,nan,employed,0.0,Neutral
3/29/2025 21:48:04,3135,Male,Bachelors Degree,Science & Technology,7,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",,,4.0,Yes,Yes,Very often,Somewhat,"Practical/Technical Skills, Critical Thinking & Problem-Solving, Leadership & Management Skills, Industry-Specific Knowledge",Yes,Yes,6.0,No,3.0,Yes,No,"More practical training & internships, Updated curriculum aligned with industry needs, Career guidance & counseling",Maybe,2.0,Industry specific education system ,,,,,,,,,,,,,Industry specific education system ,,industry specific education system,employed,0.0,Neutral
3/29/2025 21:49:40,3135,Male,Bachelors Degree,Science & Technology,3,Yes,Employed (Full-time),36 months,Somewhat related,Personal preference,,2.0,Somewhat,No,Occasionally,Somewhat,"Practical/Technical Skills, Communication & Soft Skills, Industry-Specific Knowledge",Yes,Yes,8.0,No,7.0,Yes,Yes,"More practical training & internships, Stronger university-industry collaboration, Career guidance & counseling",Maybe,1.0,Communication skills ,,,,,,,,,,,,,Communication skills ,,communication skill,employed,0.0,Neutral
3/29/2025 21:52:47,2530,Female,Bachelors Degree,Business & Management,4 years,Yes,Employed (Full-time),Less than 3 months,Somewhat related,Lack of job opportunities in my field,,3.0,No,Yes,Occasionally,Somewhat,Communication & Soft Skills,Yes,Yes,7.0,No,6.0,Yes,No,Updated curriculum aligned with industry needs,Yes,4.0,,,,,,,,,,,,,,,,nan,employed,0.0,Neutral
3/29/2025 21:55:49,2530,Female,Postgraduate Degree,Science & Technology,3,Yes,Employed (Full-time),6 months  1 year,Somewhat related,Lack of job opportunities in my field,,2.0,Somewhat,Yes,Occasionally,Somewhat,"Practical/Technical Skills, Communication & Soft Skills, Critical Thinking & Problem-Solving",Yes,Yes,6.0,No,5.0,Yes,Yes,"More practical training & internships, Stronger university-industry collaboration",Maybe,2.0,"The curriculum should incorporate more practical skills, industry-specific training, internships, and soft skills development to better align with job market demands.",,,,,,,,,,,,,"The curriculum should incorporate more practical skills, industry-specific training, internships, and soft skills development to better align with job market demands.",,curriculum incorporate practical skill industryspecific training internship soft skill development better align job market demand,employed,0.3,Constructive
3/29/2025 21:59:15,3135,Male,Diploma/Certificate,Arts & Humanities,?,Yes,Employed (Full-time),More than 1 year,"Yes, highly related",Personal preference,,4.0,Yes,Yes,Rarely,Yes,Communication & Soft Skills,Yes,Yes,4.0,Yes,8.0,Yes,Yes,Stronger university-industry collaboration,Yes,3.0,,,,,,,,,,,,,,,,nan,employed,0.0,Neutral
3/29/2025 22:04:43,2530,Female,Postgraduate Degree,Engineering,4,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",,,2.0,Yes,Yes,Occasionally,Yes,Critical Thinking & Problem-Solving,No,Yes,5.0,No,5.0,Yes,No,Stronger university-industry collaboration,Yes,2.0,Adding compulsory apprenticeship to the program ,,,,,,,,,,,,,Adding compulsory apprenticeship to the program ,,adding compulsory apprenticeship program,employed,0.0,Neutral
3/29/2025 22:04:58,2530,Female,Bachelors Degree,Science & Technology,2,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",,,1.0,Yes,No,Very often,Somewhat,"Practical/Technical Skills, Communication & Soft Skills, Critical Thinking & Problem-Solving, Leadership & Management Skills, Industry-Specific Knowledge",Yes,Yes,2.0,No,1.0,Maybe,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Maybe,3.0,,,,,,,,,,,,,,,,nan,employed,0.0,Neutral
3/29/2025 22:09:02,2530,Female,Bachelors Degree,Science & Technology,3 years,Yes,Employed (Full-time),More than 1 year,Somewhat related,Lack of required skills/experience,,3.0,Somewhat,Yes,Occasionally,Somewhat,"Practical/Technical Skills, Communication & Soft Skills, Industry-Specific Knowledge",Yes,Yes,5.0,No,5.0,Yes,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Yes,3.0,,,,,,,,,,,,,,,,nan,employed,0.0,Neutral
3/29/2025 22:13:14,2530,Female,Bachelors Degree,Engineering,2,Yes,Employed (Full-time),36 months,"Yes, highly related",,,4.0,Somewhat,Yes,Very often,Yes,"Practical/Technical Skills, Industry-Specific Knowledge",Yes,Yes,7.0,No,5.0,Maybe,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Maybe,3.0,,,,,,,,,,,,,,,,nan,employed,0.0,Neutral
3/29/2025 22:13:30,2530,Female,Bachelors Degree,Science & Technology,2,Yes,Employed (Full-time),Less than 3 months,Somewhat related,,,3.0,Yes,Yes,Very often,Yes,"Practical/Technical Skills, Communication & Soft Skills, Industry-Specific Knowledge",No,Yes,3.0,No,6.0,Yes,No,"Stronger university-industry collaboration, Career guidance & counseling",Yes,4.0,,,,,,,,,,,,,,,,nan,employed,0.0,Neutral
3/29/2025 22:19:52,2530,Female,Postgraduate Degree,Medicine/Health Sciences,One year ,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",Personal preference,,2.0,Yes,Yes,Occasionally,Yes,Practical/Technical Skills,No,No,6.0,Yes,5.0,No,No,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Maybe,3.0,,,,,,,,,,,,,,,,nan,employed,0.0,Neutral
3/29/2025 22:22:25,2530,Female,Bachelors Degree,Other (Please specify),2025,Yes,Employed (Full-time),36 months,Somewhat related,Lack of job opportunities in my field,,3.0,Somewhat,Yes,Occasionally,Yes,"Practical/Technical Skills, Communication & Soft Skills, Critical Thinking & Problem-Solving, Leadership & Management Skills",Yes,Yes,10.0,No,2.0,Yes,Yes,Career guidance & counseling,Maybe,3.0,,,,,,,,,,,,,,,,nan,employed,0.0,Neutral
3/29/2025 22:33:13,2530,Male,Bachelors Degree,Science & Technology,1 year,Yes,Employed (Full-time),36 months,Somewhat related,,,3.0,Somewhat,No,Occasionally,Somewhat,"Practical/Technical Skills, Leadership & Management Skills, Industry-Specific Knowledge",Yes,Yes,6.0,No,4.0,Maybe,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Maybe,3.0,Practical training with Good communication skills,,,,,,,,,,,,,Practical training with Good communication skills,,practical training good communication skill,employed,0.7,Constructive
3/29/2025 22:34:34,2530,Male,Bachelors Degree,Engineering,3,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",,,1.0,Yes,No,Occasionally,Yes,Digital Literacy,Yes,Yes,5.0,No,5.0,Maybe,No,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Yes,2.0,"More experience, Better & smart thinking ",,,,,,,,,,,,,"More experience, Better & smart thinking ",,experience better smart thinking,employed,0.35714285714285715,Constructive
3/29/2025 22:35:04,2530,Female,Bachelors Degree,Medicine/Health Sciences,2 years and half ,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",,,2.0,Somewhat,Yes,Very often,Yes,"Practical/Technical Skills, Critical Thinking & Problem-Solving, Digital Literacy, Industry-Specific Knowledge",Yes,Yes,7.0,Yes,9.0,Yes,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",No,1.0,,,,,,,,,,,,,,,,nan,employed,0.0,Neutral
3/29/2025 22:39:22,2530,Female,Bachelors Degree,Engineering,3,No,,,,,,,,,,,,,,,,,,,,,,,36 months,Personal or family reasons,No,Other (Please specify),3.0,"No, having a degree has helped in securing interviews",Better access to career guidance and resources,"No, I have not taken any steps",3.0,,,,,,nan,unemployed,0.0,Neutral
3/29/2025 22:50:02,2530,Female,Postgraduate Degree,Engineering,1,Yes,Employed (Full-time),36 months,"Yes, highly related",,,2.0,Yes,Yes,Occasionally,Somewhat,"Practical/Technical Skills, Industry-Specific Knowledge",Yes,No,6.0,No,2.0,Yes,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Yes,3.0,"		Internships & Apprenticeships: Make work experience a mandatory part of the curriculum.
		Industry Partnerships: Collaborate with companies for guest lectures, mentorship programs, and hands-on training.
		Simulations & Real-World Projects: Use simulations, live projects, and industry challenges to give students practical exposure.
	Networking & Professionalism: Teach business etiquette, networking skills, and how to navigate workplace dynamics.
		CV & Interview Training: Provide career coaching, mock interviews, and job application workshops.
		Financial & Business Education: Teach budgeting, investment basics, and entrepreneurial skills.
		Freelancing & Gig Economy Awareness: Educate students on alternative career paths, such as freelancing and self-employment.",,,,,,,,,,,,,"		Internships & Apprenticeships: Make work experience a mandatory part of the curriculum.
		Industry Partnerships: Collaborate with companies for guest lectures, mentorship programs, and hands-on training.
		Simulations & Real-World Projects: Use simulations, live projects, and industry challenges to give students practical exposure.
	Networking & Professionalism: Teach business etiquette, networking skills, and how to navigate workplace dynamics.
		CV & Interview Training: Provide career coaching, mock interviews, and job application workshops.
		Financial & Business Education: Teach budgeting, investment basics, and entrepreneurial skills.
		Freelancing & Gig Economy Awareness: Educate students on alternative career paths, such as freelancing and self-employment.",, internship apprenticeship make work experience mandatory part curriculum  industry partnership collaborate company guest lecture mentorship program handson training  simulation realworld project use simulation live project industry challenge give student practical exposure  networking professionalism teach business etiquette networking skill navigate workplace dynamic  cv interview training provide career coaching mock interview job application workshop  financial business education teach budgeting investment basic entrepreneurial skill  freelancing gig economy awareness educate student alternative career path freelancing selfemployment,employed,0.03409090909090909,Constructive
3/29/2025 22:58:40,2530,Female,"Diploma/Certificate, Bachelors Degree",Other (Please specify),2,Yes,Employed (Full-time),36 months,Not related,Lack of required skills/experience,,3.0,Somewhat,Yes,Very often,Yes,"Practical/Technical Skills, Industry-Specific Knowledge",Yes,No,9.0,No,8.0,Yes,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Yes,1.0,More practical senarios in university education ,,,,,,,,,,,,,More practical senarios in university education ,,practical senarios university education,employed,0.0,Neutral
3/29/2025 23:13:00,2530,Female,Bachelors Degree,Other (Please specify),2,Yes,Employed (Full-time),36 months,"Yes, highly related",,,1.0,Yes,No,Very often,Yes,"Practical/Technical Skills, Industry-Specific Knowledge",Yes,Yes,10.0,Yes,10.0,Yes,Yes,"More practical training & internships, Stronger university-industry collaboration",Yes,1.0,,,,,,,,,,,,,,,,nan,employed,0.0,Neutral
3/29/2025 23:49:53,2530,Female,Postgraduate Degree,Science & Technology,1,Yes,Employed (Full-time),Less than 3 months,Not related,Lack of required skills/experience,,5.0,No,Yes,Very often,Somewhat,"Practical/Technical Skills, Digital Literacy, Industry-Specific Knowledge",Yes,Yes,7.0,Yes,7.0,Yes,Yes,Updated curriculum aligned with industry needs,Yes,1.0,Updated curriculum aligned with industry needs,,,,,,,,,,,,,Updated curriculum aligned with industry needs,,updated curriculum aligned industry need,employed,0.0,Neutral
3/30/2025 0:10:13,2530,Female,Bachelors Degree,Science & Technology,5,No,,,,,,,,,,,,,,,,,,,,,,,Not seeking employment,Other (Please specify),Yes,Location limitations (not willing to relocate),4.0,"No, having a degree has helped in securing interviews","More work experience (e.g., internships, part-time jobs), Networking or connections within the industry","Yes, I have enrolled in additional courses or certifications",1.0,Providing internship at the end of the degree(last semester),,,,Providing internship at the end of the degree(last semester),providing internship end degreelast semester,unemployed,0.0,Neutral
3/30/2025 0:20:39,3135,Male,Bachelors Degree,Business & Management,7,Yes,Employed (Full-time),Less than 3 months,Somewhat related,Personal preference,,4.0,Somewhat,Yes,Very often,Somewhat,"Practical/Technical Skills, Communication & Soft Skills, Critical Thinking & Problem-Solving, Leadership & Management Skills, Digital Literacy, Industry-Specific Knowledge",Yes,Yes,5.0,Yes,8.0,Yes,Yes,"Stronger university-industry collaboration, Updated curriculum aligned with industry needs",Yes,3.0,fallow professional coursers ,,,,,,,,,,,,,fallow professional coursers ,,fallow professional courser,employed,0.1,Constructive
3/30/2025 4:25:08,2530,Male,Bachelors Degree,Science & Technology,Two years,Yes,Employed (Full-time),Less than 3 months,Somewhat related,Lack of required skills/experience,,3.0,Somewhat,Yes,Occasionally,Somewhat,"Practical/Technical Skills, Communication & Soft Skills",Yes,No,6.0,Yes,6.0,Yes,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Yes,3.0,,,,,,,,,,,,,,,,nan,employed,0.0,Neutral
